Date,State,Confirmed,Recovered,Deaths,Other,Tested
2021-10-08,Rajasthan,954354,945362,8954,0,14492050
2021-10-08,Sikkim,31636,30606,388,316,252823
2021-10-08,Telangana,667535,659263,3927,0,26714442
2021-10-08,Tamil Nadu,2675592,2623459,35754,0,48179959
2021-10-08,Tripura,84220,83203,812,63,1927440
2021-10-08,India,33934345,33240707,450408,13083,581312481
2021-10-08,Uttar Pradesh,1709928,1686887,22896,0,79964351
2021-10-08,Uttarakhand,343645,329976,7396,6107,7510831
2021-10-08,West Bengal,1574801,1548294,18882,0,18435532
2021-10-09,Andaman and Nicobar Islands,7632,7492,129,0,567652
2021-10-09,Andhra Pradesh,2056628,2034244,14250,0,28706629
2021-10-09,Arunachal Pradesh,54881,54316,280,0,1161843
2021-10-09,Assam,604809,594851,5921,1347,23959248
2021-10-09,Bihar,725987,716289,9661,1,47327079
2021-10-09,Chandigarh,65277,64415,820,0,756688
2021-10-09,Chhattisgarh,1005511,991726,13570,0,13302877
2021-10-09,Delhi,1439166,1413701,25088,0,28206152
2021-10-09,Dadra and Nagar Haveli and Daman and Diu,10675,10638,4,31,72410
2021-10-09,Goa,177040,172981,3326,0,1391366
2021-10-09,Gujarat,826123,815855,10086,0,29855430
2021-10-09,Himachal Pradesh,220392,215321,3683,17,3529856
2021-10-09,Haryana,770984,760828,9875,0,12606497
2021-10-09,Jharkhand,348343,343100,5135,0,15186329
2021-10-09,Jammu and Kashmir,330434,324908,4426,0,15297670
2021-10-09,Karnataka,2980621,2932322,37875,29,48674279
2021-10-09,Kerala,4784109,4644211,26173,529,36156782
2021-10-09,Ladakh,20849,20586,208,0,543682
2021-10-09,Lakshadweep,10365,10267,51,44,257892
2021-10-09,Maharashtra,6575578,6399464,139514,3594,60057326
2021-10-09,Meghalaya,82364,79724,1417,0,1102446
2021-10-09,Manipur,121853,118255,1882,0,1323062
2021-10-09,Madhya Pradesh,792614,781984,10523,0,19070160
2021-10-09,Mizoram,104659,89847,345,0,1159050
2021-10-09,Nagaland,31441,29480,671,1013,381278
2021-10-09,Odisha,1031044,1018311,8295,0,20578622
2021-10-09,Punjab,601849,585089,16529,0,14797260
2021-10-09,Puducherry,126977,124494,1846,0,1840885
2021-10-09,Rajasthan,954355,945366,8954,0,14510433
2021-10-09,Sikkim,31654,30671,388,317,253269
2021-10-09,Telangana,667725,659508,3929,0,26756608
2021-10-09,Tamil Nadu,2676936,2624916,35768,0,48323822
2021-10-09,Tripura,84234,83222,813,63,1929423
2021-10-09,India,33952276,33264302,450621,13094,582595693
2021-10-09,Uttar Pradesh,1709928,1686887,22896,0,80136794
2021-10-09,Uttarakhand,343662,329984,7396,6109,7524461
2021-10-09,West Bengal,1575577,1549049,18894,0,18471961
2021-10-10,Andaman and Nicobar Islands,7633,7494,129,0,569082
2021-10-10,Andhra Pradesh,2057252,2035054,14254,0,28744941
2021-10-10,Arunachal Pradesh,54900,54354,280,0,1162649
2021-10-10,Assam,604969,595091,5926,1347,23984148
2021-10-10,Bihar,725996,716300,9661,1,47453772
2021-10-10,Chandigarh,65279,64421,820,0,758417
2021-10-10,Chhattisgarh,1005530,991755,13570,0,13316820
2021-10-10,Delhi,1439195,1413759,25089,0,28265141
2021-10-10,Dadra and Nagar Haveli and Daman and Diu,10675,10638,4,31,72410
2021-10-10,Goa,177113,173074,3329,0,1396558
2021-10-10,Gujarat,826141,815872,10086,0,29900369
2021-10-10,Himachal Pradesh,220479,215429,3688,17,3533078
2021-10-10,Haryana,770993,760845,9875,0,12626075
2021-10-10,Jharkhand,348352,343109,5135,0,15222868
2021-10-10,Jammu and Kashmir,330533,325016,4426,0,15350279
2021-10-10,Karnataka,2981027,2932959,37885,29,48788644
2021-10-10,Kerala,4794800,4656866,26258,529,36238696
2021-10-10,Ladakh,20852,20592,208,0,544261
2021-10-10,Lakshadweep,10365,10267,51,44,257945
2021-10-10,Maharashtra,6577872,6401287,139542,3594,60198173
2021-10-10,Meghalaya,82423,79850,1421,0,1105013
2021-10-10,Manipur,122003,118389,1885,0,1325082
2021-10-10,Madhya Pradesh,792621,781995,10523,0,19130789
2021-10-10,Mizoram,105829,91485,354,0,1165238
2021-10-10,Nagaland,31449,29505,671,1014,381832
2021-10-10,Odisha,1031696,1018749,8302,0,20645265
2021-10-10,Punjab,601876,585111,16531,0,14825875
2021-10-10,Puducherry,127053,124549,1846,0,1845496
2021-10-10,Rajasthan,954359,945368,8954,0,14527434
2021-10-10,Sikkim,31667,30694,388,317,253561
2021-10-10,Telangana,667887,659722,3930,0,26790114
2021-10-10,Tamil Nadu,2678265,2626352,35783,0,48463913
2021-10-10,Tripura,84253,83243,813,63,1932089
2021-10-10,India,33971296,33285885,450814,13095,583631490
2021-10-10,Uttar Pradesh,1709954,1686917,22896,0,80311528
2021-10-10,Uttarakhand,343668,329991,7396,6109,7536187
2021-10-10,West Bengal,1576337,1549783,18905,0,18507359
2021-10-11,Andaman and Nicobar Islands,7634,7495,129,0,570492
2021-10-11,Andhra Pradesh,2057562,2036048,14256,0,28767963
2021-10-11,Arunachal Pradesh,54924,54412,280,0,1164465
2021-10-11,Assam,605239,595314,5931,1347,24030577
2021-10-11,Bihar,725998,716301,9661,1,47561984
2021-10-11,Chandigarh,65280,64423,820,0,760303
2021-10-11,Chhattisgarh,1005554,991788,13570,0,13336047
2021-10-11,Delhi,1439218,1413760,25089,0,28311984
2021-10-11,Dadra and Nagar Haveli and Daman and Diu,10677,10638,4,31,72410
2021-10-11,Goa,177148,173171,3330,0,1400402
2021-10-11,Gujarat,826162,815890,10086,0,29947554
2021-10-11,Himachal Pradesh,220618,215674,3690,17,3539925
2021-10-11,Haryana,771000,760860,9875,0,12639114
2021-10-11,Jharkhand,348365,343117,5135,0,15262954
2021-10-11,Jammu and Kashmir,330586,325111,4426,0,15394415
2021-10-11,Karnataka,2981400,2933570,37895,29,48871497
2021-10-11,Kerala,4801796,4673442,26342,529,36305398
2021-10-11,Ladakh,20853,20599,208,0,544899
2021-10-11,Lakshadweep,10365,10267,51,44,258346
2021-10-11,Maharashtra,6579608,6404320,139578,3595,60303740
2021-10-11,Meghalaya,82487,80012,1423,0,1106422
2021-10-11,Manipur,122108,118516,1885,0,1326876
2021-10-11,Madhya Pradesh,792635,782009,10523,0,19178957
2021-10-11,Mizoram,106136,92822,358,0,1166484
2021-10-11,Nagaland,31473,29529,671,1016,382404
2021-10-11,Odisha,1032144,1019218,8308,0,20709152
2021-10-11,Punjab,601894,585134,16531,0,14841452
2021-10-11,Puducherry,127095,124608,1848,0,1848518
2021-10-11,Rajasthan,954366,945377,8954,0,14533661
2021-10-11,Sikkim,31677,30736,388,318,253775
2021-10-11,Telangana,668070,659942,3932,0,26830468
2021-10-11,Tamil Nadu,2679568,2627780,35796,0,48603749
2021-10-11,Tripura,84257,83260,813,63,1933868
2021-10-11,India,33984480,33312458,450991,13100,585038043
2021-10-11,Uttar Pradesh,1709965,1686928,22895,0,80311528
2021-10-11,Uttarakhand,343675,330007,7396,6110,7546861
2021-10-11,West Bengal,1576943,1550380,18914,0,18533477
2021-10-12,Andaman and Nicobar Islands,7635,7498,129,0,572193
2021-10-12,Andhra Pradesh,2058065,2036865,14268,0,28800809
2021-10-12,Arunachal Pradesh,54942,54426,280,0,1166108
2021-10-12,Assam,605465,595520,5934,1347,24059531
2021-10-12,Bihar,726004,716305,9661,1,47691789
2021-10-12,Chandigarh,65285,64426,820,0,762214
2021-10-12,Chhattisgarh,1005570,991810,13570,0,13356803
2021-10-12,Delhi,1439252,1413798,25089,0,28373078
2021-10-12,Dadra and Nagar Haveli and Daman and Diu,10677,10638,4,31,72410
2021-10-12,Goa,177228,173252,3332,0,1403944
2021-10-12,Gujarat,826184,815909,10086,0,30007434
2021-10-12,Himachal Pradesh,220792,215769,3694,17,3547649
2021-10-12,Haryana,771009,760871,9875,0,12659796
2021-10-12,Jharkhand,348381,343126,5135,0,15301114
2021-10-12,Jammu and Kashmir,330666,325247,4426,0,15442725
2021-10-12,Karnataka,2981732,2934085,37906,29,48950674
2021-10-12,Kerala,4809619,4685932,26448,529,36391429
2021-10-12,Ladakh,20856,20602,208,0,545674
2021-10-12,Lakshadweep,10365,10267,51,44,258688
2021-10-12,Maharashtra,6581677,6407936,139621,3595,60420515
2021-10-12,Meghalaya,82580,80134,1425,0,1109553
2021-10-12,Manipur,122228,118908,1887,0,1329193
2021-10-12,Madhya Pradesh,792647,782015,10523,0,19236687
2021-10-12,Mizoram,107566,93939,363,0,1175906
2021-10-12,Nagaland,31492,29557,673,1015,383352
2021-10-12,Odisha,1032673,1019764,8314,0,20765245
2021-10-12,Punjab,601913,585167,16531,0,14869767
2021-10-12,Puducherry,127151,124686,1848,0,1853055
2021-10-12,Rajasthan,954370,945380,8954,0,14550438
2021-10-12,Sikkim,31698,30767,389,318,254132
2021-10-12,Telangana,668266,660143,3933,0,26874778
2021-10-12,Tamil Nadu,2680857,2629201,35814,0,47826559
2021-10-12,Tripura,84267,83279,813,63,1936652
2021-10-12,India,34000503,33335304,451220,13107,586363442
2021-10-12,Uttar Pradesh,1709985,1686945,22895,0,80605946
2021-10-12,Uttarakhand,343695,330022,7397,6118,7562158
2021-10-12,West Bengal,1577711,1551115,18924,0,18563495
2021-10-13,Andaman and Nicobar Islands,7637,7499,129,0,573798
2021-10-13,Andhra Pradesh,2058582,2037691,14276,0,28839595
2021-10-13,Arunachal Pradesh,54954,54450,280,0,1167546
2021-10-13,Assam,605640,595901,5936,1347,24080184
2021-10-13,Bihar,726008,716311,9661,1,47811767
2021-10-13,Chandigarh,65285,64428,820,0,763768
2021-10-13,Chhattisgarh,1005598,991821,13570,0,13377231
2021-10-13,Delhi,1439283,1413856,25089,0,28438626
2021-10-13,Dadra and Nagar Haveli and Daman and Diu,10678,10639,4,31,72410
2021-10-13,Goa,177288,173303,3333,0,1407727
2021-10-13,Gujarat,826210,815929,10086,0,30068716
2021-10-13,Himachal Pradesh,220931,215837,3695,17,3554399
2021-10-13,Haryana,771019,760881,9875,0,12681723
2021-10-13,Jharkhand,348395,343134,5135,0,15336733
2021-10-13,Jammu and Kashmir,330741,325369,4426,0,15492451
2021-10-13,Karnataka,2982089,2934523,37916,29,49063454
2021-10-13,Kerala,4820698,4695904,26571,529,36481424
2021-10-13,Ladakh,20861,20611,208,0,546670
2021-10-13,Lakshadweep,10365,10268,51,44,258911
2021-10-13,Maharashtra,6583896,6411075,139670,3596,60546572
2021-10-13,Meghalaya,82647,80296,1428,0,1112235
2021-10-13,Manipur,122363,119015,1889,0,1331839
2021-10-13,Madhya Pradesh,792657,782024,10523,0,19298239
2021-10-13,Mizoram,108790,95412,370,0,1184627
